price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,construction_year,neighborhood,city,climatisation,parabole_tv,pool,handicapped_access,parking,garage,garden,fireplace,interphone,terrace,electric_heating,elevator,alarm_system,internet_access,sea_view,furnished,central_heating,kitchen_equipped
1250000.0,Appartement,3,,4,178.0,178.0,,La Marsa,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
360000.0,Appartement,3,,4,110.0,110.0,,La Marsa,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
320000.0,Appartement,1,1,,53.0,0.0,,La Marsa,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422000.0,Appartement,2,2,3,125.0,125.0,2022.0,La Soukra,Ariana,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
245000.0,Appartement,1,1,2,74.0,0.0,2024.0,Mrezga,Nabeul,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
520000.0,Appartement,3,2,4,152.0,152.0,2008.0,Centre Urbain Nord,Tunis,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
900000.0,Appartement,3,2,4,209.0,209.0,2012.0,Jardin De Carthage,Tunis,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
230000.0,Appartement,2,1,3,110.0,0.0,2021.0,Hammamet Sud,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270000.0,Appartement,2,1,3,102.0,102.0,2023.0,Mrezga,Nabeul,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0
1750000.0,Appartement,4,4,,0.0,364.0,,Hammamet,Nabeul,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
1.0,Appartement,,,,0.0,0.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220000.0,Appartement,2,1,3,121.0,121.0,,Medina Jedida,Ben Arous,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
111.0,Appartement,3,1,4,157.0,0.0,,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
259000.0,Appartement,2,1,,76.0,0.0,,Mahdia,Mahdia,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1800.0,Appartement,1,1,2,60.0,500.0,2015.0,Sidi Daoud,Tunis,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
169.0,Appartement,2,1,5,75.0,75.0,,Sousse Médina,Sousse,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
310000.0,Appartement,2,1,3,91.0,91.0,,Ariana Ville,Ariana,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
140000.0,Appartement,1,1,2,55.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369000.0,Appartement,2,2,3,123.0,123.0,2024.0,Sahloul,Sousse,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0
255000.0,Appartement,3,2,4,120.0,120.0,2008.0,Sahloul,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
230000.0,Appartement,1,1,2,80.0,80.0,2024.0,Sahloul,Sousse,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
