ad_id,title,link,image_url,scraped_at,location,price,property_type,property_condition,property_age,construction_status,delivery_date,property_standing,area_sqm,total_rooms,bedrooms,bathrooms,floor_level,orientation,floor_material,has_garden,has_terrace,has_garage,has_elevator,has_pool,has_air_conditioning,has_heating,has_equipped_kitchen,has_armored_door,has_concierge,has_double_glazing,has_european_living_room,has_fireplace,has_fridge,has_furniture,has_microwave,has_mountain_view,has_oven,has_parabolic_antenna,has_sea_view,has_security,has_storage_room,has_washing_machine,amenities_entre-seul,amenities_façade_extérieure
8038583,Appartement en vente à La Soukra,https://www.mubawab.tn/fr/pa/8038583/appartement-en-vente-%C3%A0-la-soukra,https://www.mubawab-media.com/ad/8/038/583F/h/IMG_6862_79222112_79244395.avif,2025-03-30T16:47:18.752488,"La Soukra, La Soukra",,Appartement,,Moins d'un an,En cours de construction,janvier 2025,Haut standing,93.0,2.0,1.0,1.0,,,Marbre,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8036651,Superbe appartement à vendre à Ain Zaghouan Nord. Superficie...,https://www.mubawab.tn/fr/pa/8036651/superbe-appartement-%C3%A0-vendre-%C3%A0-ain-zaghouan-nord-superficie-132m%C2%B2,https://www.mubawab-media.com/ad/8/036/651F/h/IMG_7657%20-%20Copie_79340594.avif,2025-03-30T16:47:20.726346,"Ain Zaghouan Nord, La Marsa",552000.0,Appartement,,,Finalisé,novembre 2024,Haut standing,132.0,3.0,2.0,2.0,,,,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7881341,Jolie Appartement à vendre,https://www.mubawab.tn/fr/pa/7881341/jolie-appartement-%C3%A0-vendre,https://www.mubawab-media.com/ad/7/881/341F/h/The%20pantheon%20exterior%202_70303749.avif,2025-03-30T16:47:23.178884,"Les Jardins de Carthage, Le Kram",590000.0,Appartement,,Moins d'un an,En cours de construction,novembre 2025,Haut standing,123.0,2.0,2.0,2.0,4.0,,Marbre,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1
7966177,S3 de 140 m² avec une terrasse à vendre Cité el Ghazela,https://www.mubawab.tn/fr/pa/7966177/s3-de-140-m%C2%B2-avec-une-terrasse-%C3%A0-vendre-cit%C3%A9-el-ghazela,https://www.mubawab-media.com/ad/7/966/177F/h/FB%20%282%29_78523584_78523728.avif,2025-03-30T16:47:26.002167,"Cité el Ghazela, Raoued",390000.0,Appartement,,,En cours de construction,décembre 2025,Haut standing,140.0,4.0,3.0,2.0,,,Marbre,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8053650,Appartement en vente à Rades A 3 4,https://www.mubawab.tn/fr/pa/8053650/appartement-en-vente-%C3%A0-rades-a-3-4,https://www.mubawab-media.com/ad/8/053/650F/h/S%2B1%20A-2-4%20Modif%20-Salon_79460094.avif,2025-03-30T16:47:28.328554,"Radès, Rades",,Appartement,,,En cours de construction,janvier 2026,Haut standing,64.0,2.0,1.0,1.0,,,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
8009336,Appartement à vendre à Ain Zaghouan Nord,https://www.mubawab.tn/fr/pa/8009336/appartement-%C3%A0-vendre-%C3%A0-ain-zaghouan-nord,https://www.mubawab-media.com/ad/8/009/336F/h/RESIDENCE-AICHA-2-1024x768%20%281%29_78956399_78957372.avif,2025-03-30T16:47:30.414117,"Ain Zaghouan Nord, La Marsa",400000.0,Appartement,,Moins d'un an,En cours de construction,juin 2025,Haut standing,122.0,3.0,2.0,2.0,3.0,Est,,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7812456,Appartement de luxe à vendre,https://www.mubawab.tn/fr/pa/7812456/appartement-de-luxe-%C3%A0-vendre,https://www.mubawab-media.com/ad/7/812/456F/h/cuisine%202%20%281%29_60770515.avif,2025-03-30T16:47:32.621626,"Cité el Ghazela, Raoued",,Appartement,,,En cours de construction,décembre 2024,Haut standing,136.0,3.0,2.0,1.0,,,,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8035206,Vend appartement à Sidi Hassine,https://www.mubawab.tn/fr/pa/8035206/vend-appartement-%C3%A0-sidi-hassine,https://www.mubawab-media.com/ad/8/035/206F/h/vue_002_79204491_79210409.avif,2025-03-30T16:47:35.886838,"Sidi Hassine, Sidi Hassine",194150.0,Appartement,,,Finalisé,novembre 2024,Économique,120.0,3.0,2.0,1.0,,,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8053644,Vend appartement à Rades A 7 2,https://www.mubawab.tn/fr/pa/8053644/vend-appartement-%C3%A0-rades-a-7-2,https://www.mubawab-media.com/ad/8/053/644F/h/S%2B3%20A2-2-Salon_S.A.M-V6_79460450.avif,2025-03-30T16:47:38.292712,"Radès, Rades",,Appartement,,,En cours de construction,janvier 2026,Haut standing,139.0,4.0,3.0,2.0,,,Marbre,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7845704,Agréable appartement à vendre,https://www.mubawab.tn/fr/pa/7845704/agr%C3%A9able-appartement-%C3%A0-vendre,https://www.mubawab-media.com/ad/7/845/704F/h/IMG_2306_79378330.avif,2025-03-30T16:47:39.781490,"Les Jardins de Carthage, Le Kram",590000.0,Appartement,,Moins d'un an,En cours de construction,novembre 2025,Haut standing,123.0,3.0,2.0,3.0,1.0,,Marbre,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7944297,S2 au RDC avec Jardin à Hammamet Nord,https://www.mubawab.tn/fr/pa/7944297/s2-au-rdc-avec-jardin-%C3%A0-hammamet-nord,https://www.mubawab-media.com/ad/7/944/297F/h/256A1805%20-%20Copie_77658460.avif,2025-03-30T16:47:41.744723,"Hammamet Nord, Hammamet",,Appartement,,,Finalisé,mars 2024,Haut standing,103.0,4.0,2.0,2.0,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1
7907103,Appartement en vente aux Jardins de Carthage. Superficie 181...,https://www.mubawab.tn/fr/pa/7907103/appartement-en-vente-aux-jardins-de-carthage-superficie-181-m%C2%B2,https://www.mubawab-media.com/ad/7/907/103F/h/le%20palais_nuit_0006%2B%20%28002%29_74496446_74501226.avif,2025-03-30T16:47:43.705820,"Les Jardins de Carthage, Le Kram",,Appartement,,Moins d'un an,En cours de construction,septembre 2026,Haut standing,181.0,4.0,3.0,2.0,,,,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7907100,Appartement S1 en vente aux Jardins de Carthage,https://www.mubawab.tn/fr/pa/7907100/appartement-s1-en-vente-aux-jardins-de-carthage,https://www.mubawab-media.com/ad/7/907/100F/h/le%20palais_nuit_0006%2B%20%28002%29_74496446_74501077.avif,2025-03-30T16:47:45.653295,"Les Jardins de Carthage, Le Kram",,Appartement,,Moins d'un an,En cours de construction,septembre 2026,Haut standing,74.0,2.0,1.0,1.0,,,,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7958405,Vente d'un bel appartement à Zone Touristique Mahdia,https://www.mubawab.tn/fr/pa/7958405/vente-d-un-bel-appartement-%C3%A0-zone-touristique-mahdia,https://www.mubawab-media.com/ad/7/958/405F/h/IMG_3660_78575582.avif,2025-03-30T16:47:47.305079,"Zone Touristique, Mahdia Ville",,Appartement,,Moins d'un an,Finalisé,juillet 2024,Haut standing,202.0,4.0,3.0,2.0,5.0,,Carrelage,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
7997700,Fabuleux S1 au RDC avec terrasse à vendre,https://www.mubawab.tn/fr/pa/7997700/fabuleux-s1-au-rdc-avec-terrasse-%C3%A0-vendre,https://www.mubawab-media.com/ad/7/997/700F/h/5_78906571.avif,2025-03-30T16:47:49.567179,"Fouchana, Fouchana",140000.0,Appartement,,Moins d'un an,En cours de construction,juin 2025,Économique,66.0,2.0,,,,,,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8041887,Appartement S3 aux Jardin de Carthage,https://www.mubawab.tn/fr/pa/8041887/appartement-s3-aux-jardin-de-carthage,https://www.mubawab-media.com/ad/8/041/887F/h/S%2B3%20-%20A.3.6_79276784.avif,2025-03-30T16:47:52.204528,"Les Jardins de Carthage, Le Kram",,Appartement,,Moins d'un an,En cours de construction,septembre 2026,Haut standing,173.0,4.0,3.0,3.0,4.0,,Marbre,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
7969465,"Vente d'un bel appartement à Sahloul. Surface totale 144,56...",https://www.mubawab.tn/fr/pa/7969465/vente-d-un-bel-appartement-%C3%A0-sahloul-surface-totale-144-56-m%C2%B2,https://www.mubawab-media.com/ad/7/969/465F/h/4_79248411.avif,2025-03-30T16:47:53.888844,"Sahloul, Sousse Jaouhara",,Appartement,,,En cours de construction,mars 2025,Haut standing,144.0,4.0,3.0,2.0,,,,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
8053648,Superbe appartement à vendre à Rades A 3 11,https://www.mubawab.tn/fr/pa/8053648/superbe-appartement-%C3%A0-vendre-%C3%A0-rades-a-3-11,https://www.mubawab-media.com/ad/8/053/648F/h/S%2B1%20A-2-11-Salon%20V3_79460027.avif,2025-03-30T16:47:56.050513,"Radès, Rades",,Appartement,,,En cours de construction,janvier 2026,Haut standing,78.0,2.0,1.0,1.0,,,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
