model_name,mse,rmse,mae,mape,r2
XGBoost,"24,343,846,065.47","156,025.15","100,772.66",31.83%,0.7432
Gradient Boosting,"25,029,934,374.55","158,208.52","100,373.15",31.47%,0.7360
XGBoost (Optimized),"25,252,642,101.23","158,910.80","98,227.72",27.69%,0.7336
Gradient Boosting (Log Target),"25,309,558,466.32","159,089.78","98,354.92",27.69%,0.7330
XGBoost (Top Features),"25,541,865,485.11","159,818.23","98,945.94",28.20%,0.7306
XGBoost (Log Target),"25,904,629,852.13","160,949.15","100,408.53",28.34%,0.7267
Random Forest,"25,946,211,426.17","161,078.28","99,902.92",32.30%,0.7263
Random Forest (Log Target),"27,187,466,634.07","164,886.22","99,785.01",28.87%,0.7132
Linear Regression,"35,707,092,526.20","188,963.20","128,129.28",42.33%,0.6233
Lasso (alpha=0.001),"35,707,093,017.84","188,963.21","128,129.28",42.33%,0.6233
Ridge (alpha=0.1),"35,707,126,784.12","188,963.29","128,129.27",42.33%,0.6233
Linear Regression (Log Target),"35,933,296,046.19","189,560.80","122,400.73",34.65%,0.6209
